creator,title,link,pubDate,author,content:encoded,content:encodedSnippet,enclosure.url,enclosure.length,enclosure.type,content,contentSnippet,guid,isoDate,itunes.author,itunes.summary,itunes.explicit,itunes.duration,itunes.episode,itunes.keywords,itunes.episodeType,itunes.image
Bronson Walker,Onryō | <3 #181 CHATGPT,https://share.transistor.fm/s/01c57d1a,"Thu, 18 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We sink deep into the world of Japanese vengeful spirits spawned from horrible acts of cruelty. </p>
      ",We sink deep into the world of Japanese vengeful spirits spawned from horrible acts of cruelty.,https://media.transistor.fm/01c57d1a/6da42f8a.mp3,36538347,audio/mpeg,"
        <p>We sink deep into the world of Japanese vengeful spirits spawned from horrible acts of cruelty. </p>
      ",We sink deep into the world of Japanese vengeful spirits spawned from horrible acts of cruelty.,d3970d29-34e7-4ccc-983f-24c5e8494956,2025-09-18T09:00:00.000Z,Bronson Walker,"
        <p>We sink deep into the world of Japanese vengeful spirits spawned from horrible acts of cruelty. </p>
      ",Yes,2279,181,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,Lenin & The October Revolution | <3 #180 CHATGPT,https://share.transistor.fm/s/4d7d0dde,"Wed, 17 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>Inflation, bread lines and a crumbling economy... perfect opportunity for a coup. </p>
      ","Inflation, bread lines and a crumbling economy... perfect opportunity for a coup.",https://media.transistor.fm/4d7d0dde/10eb3493.mp3,49651817,audio/mpeg,"
        <p>Inflation, bread lines and a crumbling economy... perfect opportunity for a coup. </p>
      ","Inflation, bread lines and a crumbling economy... perfect opportunity for a coup.",5f4ee3a1-ffa2-4426-b68b-ec1a9fb42b70,2025-09-17T09:00:00.000Z,Bronson Walker,"
        <p>Inflation, bread lines and a crumbling economy... perfect opportunity for a coup. </p>
      ",No,3099,180,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,"How Do I Help My Huge, Old Tree Live a Long, Happy Life | <3 #179 CHATGPT",https://share.transistor.fm/s/1ca5ab2c,"Wed, 17 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>What makes an oak an oak, what a drip line is, how to pick a mulch &amp; much much more. </p>
      ","What makes an oak an oak, what a drip line is, how to pick a mulch & much much more.",https://media.transistor.fm/1ca5ab2c/0abb0115.mp3,54365168,audio/mpeg,"
        <p>What makes an oak an oak, what a drip line is, how to pick a mulch &amp; much much more. </p>
      ","What makes an oak an oak, what a drip line is, how to pick a mulch & much much more.",91bb7fde-daff-4f86-996b-d0f8c32b54f9,2025-09-17T09:00:00.000Z,Bronson Walker,"
        <p>What makes an oak an oak, what a drip line is, how to pick a mulch &amp; much much more. </p>
      ",No,3393,179,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,Advice Before Our First Whatnot Live | <3 #178 CHATGPT,https://share.transistor.fm/s/cc91bc31,"Tue, 16 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We start with its origins &amp; then hit tips, tactics and production logistics. </p>
      ","We start with its origins & then hit tips, tactics and production logistics.",https://media.transistor.fm/cc91bc31/b53ed997.mp3,29446422,audio/mpeg,"
        <p>We start with its origins &amp; then hit tips, tactics and production logistics. </p>
      ","We start with its origins & then hit tips, tactics and production logistics.",8e315f7f-bbc3-41ed-920e-0b7885862475,2025-09-16T09:00:00.000Z,Bronson Walker,"
        <p>We start with its origins &amp; then hit tips, tactics and production logistics. </p>
      ",No,1836,178,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,"What Do I Not Know to Ask | <3 #178 CHATGPT, GEMINI, GROK",https://share.transistor.fm/s/21eb739d,"Mon, 15 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>Chat goes self aware, Gemini struggles horribly and Grok does a decent job at singing Fly Me to The Moon. </p>
      ","Chat goes self aware, Gemini struggles horribly and Grok does a decent job at singing Fly Me to The Moon.",https://media.transistor.fm/21eb739d/40dd77bc.mp3,68883381,audio/mpeg,"
        <p>Chat goes self aware, Gemini struggles horribly and Grok does a decent job at singing Fly Me to The Moon. </p>
      ","Chat goes self aware, Gemini struggles horribly and Grok does a decent job at singing Fly Me to The Moon.",8e63d64b-9508-4bdb-b143-14307618eefe,2025-09-15T09:00:00.000Z,Bronson Walker,"
        <p>Chat goes self aware, Gemini struggles horribly and Grok does a decent job at singing Fly Me to The Moon. </p>
      ",No,4301,177,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,Inside China's Social Credit System | <3 #176 GROK,https://share.transistor.fm/s/572e2c54,"Fri, 12 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We explore how skipping out on a jaywalking fine can come back to haunt you at the airline gate. What happens if you can't pay. And what it's like to be a local. </p>
      ",We explore how skipping out on a jaywalking fine can come back to haunt you at the airline gate. What happens if you can't pay. And what it's like to be a local.,https://media.transistor.fm/572e2c54/d3d8fd4b.mp3,42430320,audio/mpeg,"
        <p>We explore how skipping out on a jaywalking fine can come back to haunt you at the airline gate. What happens if you can't pay. And what it's like to be a local. </p>
      ",We explore how skipping out on a jaywalking fine can come back to haunt you at the airline gate. What happens if you can't pay. And what it's like to be a local.,c7864295-f2e7-4ce7-a95f-0d02628b543e,2025-09-12T09:00:00.000Z,Bronson Walker,"
        <p>We explore how skipping out on a jaywalking fine can come back to haunt you at the airline gate. What happens if you can't pay. And what it's like to be a local. </p>
      ",No,2647,176,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,Adding Depth to Act I | <3 #175 CHATGPT ,https://share.transistor.fm/s/5c48dfd8,"Thu, 11 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>Olivia cries herself to sleep and then the cats do down a detective rabbit hole. </p>
      ",Olivia cries herself to sleep and then the cats do down a detective rabbit hole.,https://media.transistor.fm/5c48dfd8/8c68f9f5.mp3,72880304,audio/mpeg,"
        <p>Olivia cries herself to sleep and then the cats do down a detective rabbit hole. </p>
      ",Olivia cries herself to sleep and then the cats do down a detective rabbit hole.,7809e72d-0528-4b59-81dc-331b120bdbd0,2025-09-11T09:00:00.000Z,Bronson Walker,"
        <p>Olivia cries herself to sleep and then the cats do down a detective rabbit hole. </p>
      ",No,4550,175,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,"Adrian's Spiral Into Madness | <3 #174 NOTEBOOK LM, CHATGPT ",https://share.transistor.fm/s/1f29f42f,"Wed, 10 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We pretty much ruin Adrian (the father in our ongoing story)</p>
      ",We pretty much ruin Adrian (the father in our ongoing story),https://media.transistor.fm/1f29f42f/c64af1bc.mp3,54578728,audio/mpeg,"
        <p>We pretty much ruin Adrian (the father in our ongoing story)</p>
      ",We pretty much ruin Adrian (the father in our ongoing story),c05d8a94-1912-4ab9-a5d7-ace59aa6fbb2,2025-09-10T09:00:00.000Z,Bronson Walker,"
        <p>We pretty much ruin Adrian (the father in our ongoing story)</p>
      ",Yes,3407,174,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,Mixed Bag | <3 #173 CHATGPT,https://share.transistor.fm/s/f957e399,"Tue, 09 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>How strip clubs worked when the dollar was more valuable, Wabi-sabi &amp; why white dog shit has become rare... among other things. </p>
      ","How strip clubs worked when the dollar was more valuable, Wabi-sabi & why white dog shit has become rare... among other things.",https://media.transistor.fm/f957e399/8d806c6f.mp3,24785311,audio/mpeg,"
        <p>How strip clubs worked when the dollar was more valuable, Wabi-sabi &amp; why white dog shit has become rare... among other things. </p>
      ","How strip clubs worked when the dollar was more valuable, Wabi-sabi & why white dog shit has become rare... among other things.",09719351-ab4a-416b-996a-b51e01393452,2025-09-09T09:00:00.000Z,Bronson Walker,"
        <p>How strip clubs worked when the dollar was more valuable, Wabi-sabi &amp; why white dog shit has become rare... among other things. </p>
      ",Yes,1544,173,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,"AI Musical Chairs : Telepathy, Transparency & Bad Intent | <3 #172 GEMINI, CHATGPT, GROK",https://share.transistor.fm/s/77c954ce,"Mon, 08 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We experiment with a promising new format where Gemini, ChatGPT &amp; Grok ask each other questions.</p>
      ","We experiment with a promising new format where Gemini, ChatGPT & Grok ask each other questions.",https://media.transistor.fm/77c954ce/57875083.mp3,54029528,audio/mpeg,"
        <p>We experiment with a promising new format where Gemini, ChatGPT &amp; Grok ask each other questions.</p>
      ","We experiment with a promising new format where Gemini, ChatGPT & Grok ask each other questions.",b8d1644b-bd16-4bfd-aacb-885c8cfd922b,2025-09-08T09:00:00.000Z,Bronson Walker,"
        <p>We experiment with a promising new format where Gemini, ChatGPT &amp; Grok ask each other questions.</p>
      ",No,3372,172,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,The History of Live Social Shopping | <3 #171 GEMINI,https://share.transistor.fm/s/774e4c3b,"Fri, 05 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>Before Tiktok Shop, there was QVC, call-in radio shows and traveling merchants. </p>
      ","Before Tiktok Shop, there was QVC, call-in radio shows and traveling merchants.",https://media.transistor.fm/774e4c3b/42023e66.mp3,61354260,audio/mpeg,"
        <p>Before Tiktok Shop, there was QVC, call-in radio shows and traveling merchants. </p>
      ","Before Tiktok Shop, there was QVC, call-in radio shows and traveling merchants.",617fe8b0-401c-45f4-922d-55a045337f74,2025-09-05T09:00:00.000Z,Bronson Walker,"
        <p>Before Tiktok Shop, there was QVC, call-in radio shows and traveling merchants. </p>
      ",No,3830,171,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,The Origins of Atlantis | <3 #170 GEMINI,https://share.transistor.fm/s/184d5df5,"Thu, 04 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>Gemini describes to us the grand island made of concentric circles of beautiful farmland, canals and giants cliffs. We explore Plato, ancient Egypt &amp; much more. </p>
      ","Gemini describes to us the grand island made of concentric circles of beautiful farmland, canals and giants cliffs. We explore Plato, ancient Egypt & much more.",https://media.transistor.fm/184d5df5/45b6457f.mp3,39568126,audio/mpeg,"
        <p>Gemini describes to us the grand island made of concentric circles of beautiful farmland, canals and giants cliffs. We explore Plato, ancient Egypt &amp; much more. </p>
      ","Gemini describes to us the grand island made of concentric circles of beautiful farmland, canals and giants cliffs. We explore Plato, ancient Egypt & much more.",73bf7736-5a72-44de-b6cf-58c9310e3fbc,2025-09-04T09:00:00.000Z,Bronson Walker,"
        <p>Gemini describes to us the grand island made of concentric circles of beautiful farmland, canals and giants cliffs. We explore Plato, ancient Egypt &amp; much more. </p>
      ",No,2468,170,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,We Learn All About Chat's Favorite Animal | <3 #169 CHATGPT,https://share.transistor.fm/s/e7d473a2,"Wed, 03 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>ChatGPT would pick dolphins... We learn that Killer Whales aren't actually whales, how Bottlenose Dolphins use tools and we go on a fun aquatic adventure together in the Caribbean. </p>
      ","ChatGPT would pick dolphins... We learn that Killer Whales aren't actually whales, how Bottlenose Dolphins use tools and we go on a fun aquatic adventure together in the Caribbean.",https://media.transistor.fm/e7d473a2/0a63ed33.mp3,61017392,audio/mpeg,"
        <p>ChatGPT would pick dolphins... We learn that Killer Whales aren't actually whales, how Bottlenose Dolphins use tools and we go on a fun aquatic adventure together in the Caribbean. </p>
      ","ChatGPT would pick dolphins... We learn that Killer Whales aren't actually whales, how Bottlenose Dolphins use tools and we go on a fun aquatic adventure together in the Caribbean.",a3f2ee04-1004-4ba3-88c5-7f23cec8d175,2025-09-03T09:00:00.000Z,Bronson Walker,"
        <p>ChatGPT would pick dolphins... We learn that Killer Whales aren't actually whales, how Bottlenose Dolphins use tools and we go on a fun aquatic adventure together in the Caribbean. </p>
      ",No,3809,169,"AI, chatgpt, gemini, meta, LLM, grok",full,
Bronson Walker,The Dark History of Book Burning & How it Manifests in the Digital Realm | <3 #168 GROK,https://share.transistor.fm/s/239a7312,"Tue, 02 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We start by discussing the most egregious examples of book burning throughout history. Then we trace the trends of book banning attempts throughout the decades. We end with how it manifests in the digital age. </p>
      ",We start by discussing the most egregious examples of book burning throughout history. Then we trace the trends of book banning attempts throughout the decades. We end with how it manifests in the digital age.,https://media.transistor.fm/239a7312/7cb65484.mp3,79597795,audio/mpeg,"
        <p>We start by discussing the most egregious examples of book burning throughout history. Then we trace the trends of book banning attempts throughout the decades. We end with how it manifests in the digital age. </p>
      ",We start by discussing the most egregious examples of book burning throughout history. Then we trace the trends of book banning attempts throughout the decades. We end with how it manifests in the digital age.,54b07942-5b66-4805-a4a6-54564dc5f3c8,2025-09-02T09:00:00.000Z,Bronson Walker,"
        <p>We start by discussing the most egregious examples of book burning throughout history. Then we trace the trends of book banning attempts throughout the decades. We end with how it manifests in the digital age. </p>
      ",No,4970,168,"AI, chatgpt, gemini, meta, LLM, grok",full,
